File,nCommit,AddedLOC,nCoupledClass,LOC,CommentToCodeRatio
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java,0.75,172,9,12,1.07
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicLetterTokenizer.java,0.333333333,55,1,4,1.56
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java,0.333333333,65,2,7,0.87
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizer.java,1.0,102,0,21,1.12
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemFilter.java,0.333333333,73,2,7,0.87
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemmer.java,0.5,178,0,14,0.96
contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java,0.75,194,9,9,0.79
contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemFilter.java,0.333333333,95,2,8,0.76
contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemmer.java,0.333333333,1041,0,50,0.23
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java,0.666666667,126,5,11,1.26
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKTokenizer.java,0.375,339,4,24,0.63
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cn/ChineseAnalyzer.java,0.666666667,88,5,11,1.13
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cn/ChineseFilter.java,0.333333333,122,1,19,0.9
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cn/ChineseTokenizer.java,0.375,210,3,9,0.51
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/CompoundWordTokenFilterBase.java,0.5,237,8,7,0.29
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/DictionaryCompoundWordTokenFilter.java,0.5,122,2,15,1.1
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/ByteVector.java,1.0,126,0,6,0.58
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/CharVector.java,1.0,136,0,5,0.53
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/Hyphen.java,1.0,69,0,8,0.9
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/Hyphenation.java,1.0,54,0,6,2.36
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/HyphenationException.java,1.0,32,0,3,3.67
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/HyphenationTree.java,0.5,476,5,26,0.71
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/PatternConsumer.java,1.0,55,0,7,5.86
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/PatternParser.java,1.0,517,3,13,0.24
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/hyphenation/TernaryTree.java,0.5,666,3,14,0.45
contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/HyphenationCompoundWordTokenFilter.java,0.333333333,227,4,21,0.9
contrib/analyzers/common/src/java/org/apache/lucene/analysis/cz/CzechAnalyzer.java,0.75,188,8,12,0.64
contrib/analyzers/common/src/java/org/apache/lucene/analysis/de/GermanAnalyzer.java,0.75,202,9,10,0.89
contrib/analyzers/common/src/java/org/apache/lucene/analysis/de/GermanStemFilter.java,0.333333333,126,2,9,0.93
contrib/analyzers/common/src/java/org/apache/lucene/analysis/de/GermanStemmer.java,0.5,271,0,31,0.49
contrib/analyzers/common/src/java/org/apache/lucene/analysis/el/GreekAnalyzer.java,0.75,293,7,11,0.4
contrib/analyzers/common/src/java/org/apache/lucene/analysis/el/GreekCharsets.java,0.666666667,483,0,226,0.24
contrib/analyzers/common/src/java/org/apache/lucene/analysis/el/GreekLowerCaseFilter.java,0.333333333,79,2,8,0.76
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fa/PersianAnalyzer.java,1.0,182,9,14,1.15
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fa/PersianNormalizationFilter.java,1.0,54,2,7,0.88
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fa/PersianNormalizer.java,1.0,95,0,20,1.41
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/ElisionFilter.java,0.333333333,149,2,10,0.63
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/FrenchAnalyzer.java,0.75,199,9,10,0.83
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/FrenchStemFilter.java,0.333333333,116,2,8,0.88
contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/FrenchStemmer.java,0.333333333,720,0,30,0.43
contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/EmptyTokenStream.java,0.5,48,1,4,1.53
contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/PrefixAndSuffixAwareTokenFilter.java,0.5,91,2,4,0.58
contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/PrefixAwareTokenFilter.java,0.666666667,213,8,8,0.27
contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/SingleTokenTokenStream.java,0.4,131,4,5,0.49
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,0.5,224,4,9,0.53
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenizer.java,0.333333333,270,5,9,0.79
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,0.5,156,3,11,0.52
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenizer.java,0.333333333,176,4,9,0.6
contrib/analyzers/common/src/java/org/apache/lucene/analysis/nl/DutchAnalyzer.java,0.75,236,8,13,0.92
contrib/analyzers/common/src/java/org/apache/lucene/analysis/nl/DutchStemFilter.java,0.333333333,137,2,8,0.94
contrib/analyzers/common/src/java/org/apache/lucene/analysis/nl/DutchStemmer.java,0.333333333,411,0,18,0.29
contrib/analyzers/common/src/java/org/apache/lucene/analysis/nl/WordlistLoader.java,1.0,129,0,18,0.75
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/AbstractEncoder.java,0.333333333,32,1,3,2.86
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/DelimitedPayloadTokenFilter.java,0.5,112,4,12,0.77
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/FloatEncoder.java,0.5,39,2,7,2.09
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/IdentityEncoder.java,1.0,57,1,6,1.04
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/IntegerEncoder.java,0.5,38,3,7,2.09
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/NumericPayloadTokenFilter.java,0.5,78,5,6,0.69
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/PayloadEncoder.java,0.5,42,1,4,4.83
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/PayloadHelper.java,0.5,76,0,6,1.21
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/TokenOffsetPayloadTokenFilter.java,0.5,81,5,6,0.76
contrib/analyzers/common/src/java/org/apache/lucene/analysis/payloads/TypeAsPayloadTokenFilter.java,0.5,77,4,6,0.79
contrib/analyzers/common/src/java/org/apache/lucene/analysis/position/PositionFilter.java,0.5,101,2,8,0.98
contrib/analyzers/common/src/java/org/apache/lucene/analysis/query/QueryAutoStopWordAnalyzer.java,0.5,303,8,21,0.87
contrib/analyzers/common/src/java/org/apache/lucene/analysis/reverse/ReverseStringFilter.java,0.333333333,143,1,9,1.04
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianAnalyzer.java,0.6,336,8,12,0.39
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianCharsets.java,0.666666667,316,0,42,0.13
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianLetterTokenizer.java,0.6,97,2,7,1.05
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianLowerCaseFilter.java,0.5,82,2,9,0.82
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianStemFilter.java,0.4,103,3,9,0.97
contrib/analyzers/common/src/java/org/apache/lucene/analysis/ru/RussianStemmer.java,0.333333333,647,1,17,0.38
contrib/analyzers/common/src/java/org/apache/lucene/analysis/shingle/ShingleAnalyzerWrapper.java,0.666666667,148,4,9,0.59
contrib/analyzers/common/src/java/org/apache/lucene/analysis/shingle/ShingleFilter.java,0.4,438,6,19,0.56
contrib/analyzers/common/src/java/org/apache/lucene/analysis/shingle/ShingleMatrixFilter.java,0.25,1062,14,10,0.63
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/DateRecognizerSinkFilter.java,0.5,77,2,8,0.81
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/DateRecognizerSinkTokenizer.java,0.5,90,1,8,1.05
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/TokenRangeSinkFilter.java,1.0,54,1,5,0.77
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/TokenRangeSinkTokenizer.java,0.5,57,1,4,0.71
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/TokenTypeSinkFilter.java,0.5,47,2,5,1.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/sinks/TokenTypeSinkTokenizer.java,0.5,56,1,4,1.0
contrib/analyzers/common/src/java/org/apache/lucene/analysis/th/ThaiAnalyzer.java,0.666666667,75,8,10,0.52
contrib/analyzers/common/src/java/org/apache/lucene/analysis/th/ThaiWordFilter.java,0.5,123,4,10,0.39
contrib/analyzers/common/src/test/org/apache/lucene/analysis/ar/TestArabicAnalyzer.java,0.5,109,1,10,1.19
contrib/analyzers/common/src/test/org/apache/lucene/analysis/ar/TestArabicNormalizationFilter.java,0.333333333,114,2,3,0.37
contrib/analyzers/common/src/test/org/apache/lucene/analysis/ar/TestArabicStemFilter.java,0.25,141,2,3,0.27
contrib/analyzers/common/src/test/org/apache/lucene/analysis/br/TestBrazilianStemmer.java,0.5,187,2,16,0.39
contrib/analyzers/common/src/test/org/apache/lucene/analysis/cjk/TestCJKTokenizer.java,0.4,302,9,14,0.12
