instance_id,global,local,label
31897,0.18,6.085505782460212e-11,1
31897,0.29,6.19063791360556e-11,1
31897,0.38,6.345866513067442e-11,1
31897,0.56,0.9999998854676209,1
31897,0.56,0.9999999625534991,1
31897,0.49,2.7371472453306813e-08,1
31897,0.38,6.33808926057875e-11,1
31897,0.16,6.046207172104458e-11,1
31897,0.16,6.058678286624697e-11,1
31897,0.29,6.19340530276966e-11,1
31897,0.2,6.123142658606985e-11,1
31897,0.61,0.9999968157765401,1
31897,0.24,1.7845752120676973e-08,1
31897,0.2,6.117282789961812e-11,1
31897,0.3,6.202230130014787e-11,1
31897,0.34,1.7522270608748523e-08,1
31897,0.6,0.999999961899353,1
31897,0.17,6.032299407810077e-11,1
31897,0.27,1.7506822005751174e-08,1
31897,0.16,5.867045603267363e-11,1
31897,0.0,2.2648048100091154e-10,1
31897,0.25,6.258166657945193e-11,1
31897,0.18,6.314894784409553e-11,1
31897,0.1,5.895222490507651e-11,1
31897,0.54,0.999999959144629,1
31897,0.09,2.3152412685804033e-10,1
31897,0.18,6.097436799885541e-11,1
31897,0.18,6.036942295466496e-11,1
31897,0.58,0.9999999620369028,1
31897,0.61,0.9999997915832913,1
31897,0.2,6.126001165559982e-11,1
31897,0.3,6.18481242605745e-11,1
31897,0.27,5.858591044387947e-11,1
31897,0.0,2.2648048100091154e-10,1
31897,0.18,5.995551881095088e-11,1
31897,0.2,6.126368684841107e-11,1
31897,0.37,6.414564435110548e-11,1
31897,0.38,6.406905576911847e-11,1
31897,0.18,5.985445301180804e-11,1
31897,0.2,6.007268194571329e-11,1
31897,0.43,5.8184137472098416e-11,1
31897,0.11,2.3186476804336802e-10,1
31897,0.0,2.290411287098152e-10,1
31897,0.56,0.9999999626866475,1
31897,0.1,5.954187388770273e-11,1
31897,0.18,5.972457882034411e-11,1
31897,0.13,2.3353035905065615e-10,1
31897,0.23,6.291436809052455e-11,1
31897,0.0,2.2994852660858147e-10,1
31897,0.16,6.030342003168673e-11,1
31897,0.3,5.856665238584685e-11,1
31897,0.29,6.18712662982815e-11,1
31897,0.22,1.690020332766499e-08,1
31897,0.14,2.342528183244329e-10,1
31897,0.18,6.078169204080229e-11,1
31897,0.29,6.198108238608038e-11,1
31897,0.18,6.10285710833296e-11,1
31897,0.21,6.164806956748498e-11,1
31897,0.22,1.681108758663359e-08,1
31897,0.18,5.991747472386188e-11,1
31897,0.11,5.912837910018304e-11,1
31897,0.18,5.992565156434106e-11,1
31897,0.16,5.87733836117325e-11,1
31897,0.0,2.2884501390489713e-10,1
31897,0.2,6.131898299752342e-11,1
31897,0.18,5.981743294321655e-11,1
31897,0.0,2.297881416949664e-10,1
31897,0.32,6.20725478109973e-11,1
31897,0.32,5.853699896220002e-11,1
31897,0.18,6.099051752837286e-11,1
31897,0.22,6.278416327816729e-11,1
31897,0.2,6.119196614915236e-11,1
31897,0.38,6.38965739015892e-11,1
31897,0.13,2.337100519044263e-10,1
31897,0.29,6.191216779378587e-11,1
31897,0.12,5.909713132693811e-11,1
31897,0.22,5.86285283513744e-11,1
31897,0.13,5.936577636154171e-11,1
31897,0.19,6.004890226606868e-11,1
31897,0.26,1.7315364137277214e-08,1
31897,0.19,2.553182744084343e-05,1
31897,0.36,6.324738824387456e-11,1
31897,0.32,6.208020078221982e-11,1
31897,0.04,3.251815868642998e-07,1
31897,0.6,0.9999999646892331,1
31897,0.53,0.9999999625988824,1
31897,0.38,6.400436689856825e-11,1
31897,0.14,6.038818350686425e-11,1
31897,0.43,5.812887529331103e-11,1
31897,0.36,6.36646584101839e-11,1
31897,0.28,1.697824062071372e-08,1
31897,0.39,1.8201709950850523e-08,1
31897,0.21,6.140000518414282e-11,1
31897,0.38,6.34529640590416e-11,1
31897,0.33,1.7539298422605716e-08,1
31897,0.21,6.272367900945923e-11,1
31897,0.18,6.088241478915261e-11,1
31897,0.59,0.9999999624223367,1
31897,0.2,6.118654238775131e-11,1
31897,0.29,6.191123423557642e-11,1
31897,0.53,0.9999999625784838,1
31897,0.13,2.3258302731223812e-10,1
31897,0.13,2.3335360011970667e-10,1
31897,0.38,6.34332966892857e-11,1
31897,0.15,2.3432812048112697e-10,1
31897,0.56,0.9999999626752193,1
31897,0.18,5.97871302528775e-11,1
31897,0.1,5.893887823197169e-11,1
31897,0.56,0.9999999626421666,1
31897,0.6,0.9999999579804184,1
31897,0.56,0.9999999625535007,1
31897,0.37,6.326151664139508e-11,1
31897,0.17,5.865255315296875e-11,1
31897,0.56,0.9999998852672359,1
31897,0.21,6.016094228712329e-11,1
31897,0.25,1.7877418580295598e-08,1
31897,0.38,6.337319792593606e-11,1
31897,0.17,6.045261874579755e-11,1
31897,0.24,6.247584084385279e-11,1
31897,0.37,6.330529593633921e-11,1
31897,0.3,6.184352602950879e-11,1
31897,0.46,1.0174779164718286e-10,1
31897,0.21,6.163689872060108e-11,1
31897,0.38,1.8282871117722036e-08,1
31897,0.11,5.90724533414857e-11,1
31897,0.16,6.04665301729712e-11,1
31897,0.18,5.973204602554503e-11,1
31897,0.55,0.9999999625241646,1
31897,0.22,6.263171516661187e-11,1
31897,0.29,6.192573822295063e-11,1
31897,0.13,5.888223986054935e-11,1
31897,0.26,6.227604933562356e-11,1
31897,0.22,1.678232140969486e-08,1
31897,0.18,6.093802767352406e-11,1
31897,0.12,5.92211200142001e-11,1
31897,0.22,6.264281108326692e-11,1
31897,0.24,6.237566895356381e-11,1
31897,0.16,6.031488568419997e-11,1
31897,0.29,6.189538198303465e-11,1
31897,0.5,1.40748875874685e-05,1
31897,0.05,2.31158811350597e-10,1
31897,0.3,6.201043142690036e-11,1
31897,0.2,6.129076710054012e-11,1
31897,0.24,6.253189621170177e-11,1
31897,0.54,0.9999992460071515,1
31897,0.38,6.336567768297694e-11,1
31897,0.37,1.6611874133279453e-08,1
31897,0.4,1.8119754983878704e-08,1
31897,0.13,2.329003415232996e-10,1
31897,0.16,5.966450623886356e-11,1
31897,0.18,6.067755909334027e-11,1
31897,0.6,0.9999999623054966,1
31897,0.1,5.894569019830767e-11,1
31897,0.18,5.873995338346934e-11,1
31897,0.16,6.059914488892958e-11,1
31897,0.12,5.91511166567256e-11,1
31897,0.38,6.386167151357863e-11,1
31897,0.43,5.810604139318275e-11,1
31897,0.46,2.345855831053023e-10,1
31897,0.28,1.6953082922066192e-08,1
31897,0.11,5.957149559288993e-11,1
31897,0.56,0.9999999626527031,1
31897,0.38,6.337908143734391e-11,1
31897,0.2,6.108354218712701e-11,1
31897,0.13,2.338040085896093e-10,1
31897,0.19,6.30947127837521e-11,1
31897,0.42,5.830464735932787e-11,1
31897,0.0,2.3062992785364134e-10,1
